Artikelnummer,Beschreibung,Farbe,EAN,VPE,Status
460507,PolyTarp® 650  - 5 x 7 m,grau,4250574104093,1 Stück pro Ballen,1
460508,PolyTarp® 650  - 5 x 8 m,grau,4250574103379,1 Stück pro Ballen,1
460608,PolyTarp® 650  - 6 x 8 m,grau,4250574103447,1 Stück pro Ballen,1
460610,PolyTarp® 650  - 6 x 10 m,grau,4250574103386,1 Stück pro Ballen,1
460810,PolyTarp® 650  - 8 x 10 m,grau,4250574103393,1 Stück pro Ballen,2
461012,PolyTarp® 650  - 10 x 12 m,grau,4250574103416,1 Stück pro Ballen,3
463506,"PolyTarp® 650  - 3,5 x 6 m",grau,4250574103430,2 Stück pro Ballen,1
470203,PolyTarp® 650  -  2 x 3 m,blau,4250574101061,7 Stück pro Ballen,1
470250,PolyTarp® 650  -  2 x 50 m,blau,4250574103508,Unknown,1
470304,PolyTarp® 650  -  3 x 4 m,blau,4250574101078,3 Stück pro Ballen,1
470305,PolyTarp® 650  -  3 x 5 m,blau,4250574101085,3 Stück pro Ballen,1
470306,PolyTarp® 650  -  3 x 6 m,blau,4250574101092,2 Stück pro Ballen,1
470405,PolyTarp® 650  -  4 x 5 m,blau,4250574101108,2 Stück pro Ballen,1
470406,PolyTarp® 650  -  4 x 6 m,blau,4250574101115,1 Stück pro Ballen,1
470407,PolyTarp® 650  -  4 x 7 m,blau,4250574101122,1 Stück pro Ballen,1
470408,PolyTarp® 650  -  4 x 8 m,blau,4250574101139,1 Stück pro Ballen,1
470506,PolyTarp® 650  -  5 x 6 m,blau,4250574101146,1 Stück pro Ballen,1
470508,PolyTarp® 650  -  5 x 8 m,blau,4250574101153,1 Stück pro Ballen,1
470509,PolyTarp® 650  -  5 x 9 m,blau,4250574101160,1 Stück pro Ballen,1
470610,PolyTarp® 650  -  6 x 10 m,blau,4250574101177,1 Stück pro Ballen,1
470612,PolyTarp® 650  -  6 x 12 m,blau,4250574103935,1 Stück pro Ballen,1
470810,PolyTarp® 650  -  8 x 10 m,blau,4250574101184,1 Stück pro Ballen,1
480203,PolyTarp® 280  -  2 x 3 m,grau,4250574101764,17 Stück pro Karton,1
480304,PolyTarp® 280  -  3 x 4 m,grau,4250574101771,8 Stück pro Karton,1
480305,PolyTarp® 280  -  3 x 5 m,grau,4250574102570,6 Stück pro Karton,1
480306,PolyTarp® 280  -  3 x 6 m,grau,4250574101788,5 Stück pro Karton,1
480405,PolyTarp® 280  -  4 x 5 m,grau,4250574101795,5 Stück pro Karton,1
480406,PolyTarp® 280  -  4 x 6 m,grau,4250574101801,4 Stück pro Karton,1
480408,PolyTarp® 280  -  4 x 8 m,grau,4250574101818,3 Stück pro Karton,1
480506,PolyTarp® 280  -  5 x 6 m,grau,4250574101825,3 Stück pro Karton,1
480508,PolyTarp® 280  -  5 x 8 m,grau,4250574101832,2 Stück pro Karton,1
480608,PolyTarp® 280  -  6 x 8 m,grau,4250574101849,2 Stück pro Karton,1
480610,PolyTarp® 280  -  6 x 10 m,grau,4250574101856,1 Stück pro Karton,1
480612,PolyTarp® 280  -  6 x 12 m,grau,4250574101863,1 Stück pro Karton,1
480810,PolyTarp® 280  -  8 x 10 m,grau,4250574101870,1 Stück pro Karton,1
480812,PolyTarp® 280  -  8 x 12 m,grau,4250574101887,1 Stück pro Karton,1
481012,PolyTarp® 280  -  10 x 12 m,grau,4250574101894,1 Stück pro Karton,1
490203,PolyTarp® 650  - 2 x 3 m,weiß,4250574102884,7 Stück pro Ballen,1
490304,PolyTarp® 650  - 3 x 4 m,weiß,4250574102891,3 Stück pro Ballen,1
490305,PolyTarp® 650  - 3 x 5 m,weiß,4250574103454,3 Stück pro Ballen,1
490306,PolyTarp® 650  - 3 x 6 m,weiß,4250574103461,2 Stück pro Ballen,1
490405,PolyTarp® 650  - 4 x 5 m,weiß,4250574103478,2 Stück pro Ballen,1
490406,PolyTarp® 650  - 4 x 6 m,weiß,4250574103546,1 Stück pro Ballen,1
490407,PolyTarp® 650  - 4 x 7 m,weiß,4250574104130,1 Stück pro Ballen,1
490408,PolyTarp® 650  - 4 x 8 m,weiß,4250574102907,1 Stück pro Ballen,1
490506,PolyTarp® 650  - 5 x 6 m,weiß,4250574103553,1 Stück pro Ballen,1
490507,PolyTarp® 650  - 5 x 7 m,weiß,4250574104116,1 Stück pro Ballen,1
490508,PolyTarp® 650  - 5 x 8 m,weiß,4250574104147,1 Stück pro Ballen,1
490608,PolyTarp® 650  - 6 x 8 m,weiß,4250574103485,1 Stück pro Ballen,1
490610,PolyTarp® 650  - 6 x 10 m,weiß,4250574102914,1 Stück pro Ballen,1
490612,PolyTarp® 650  - 6 x 12 m,weiß,4250574103492,1 Stück pro Ballen,1
7004100,florinotex® Vogelschutznetz grün 4 x 100 m,grün,4250574122691,1 Stück pro Karton,3
700425,florinotex® Vogelschutznetz grün 4 x 25 m,grün,4250574103560,10 Stück pro Karton,1
700450,florinotex® Vogelschutznetz grün 4 x 50 m,grün,4250574103577,5 Stück pro Karton,1
700608,florinotex® Vogelschutznetz grün 6 x 8 m,grün,4250574102518,15 Stück pro Karton,1
700610,florinotex® Vogelschutznetz grün 6 x 10 m,grün,4250574102525,10 Stück pro Karton,1
700625,florinotex® Vogelschutznetz grün 6 x 25 m,grün,4250574103591,5 Stück pro Karton,1
700650,florinotex® Vogelschutznetz grün 6 x 50 m,grün,4250574103607,2 Stück pro Karton,1
700810,florinotex® Vogelschutznetz grün 8 x 10 m,grün,4250574102532,10 Stück pro Karton,1
700825,florinotex® Vogelschutznetz grün 8 x 25 m,grün,4250574102792,4 Stück pro Karton,1
700850,florinotex® Vogelschutznetz grün 8 x 50 m,grün,4250574102808,2 Stück pro Karton,1
701025,florinotex® Vogelschutznetz grün 10 x 25 m,grün,4250574103638,4 Stück pro Karton,1
701050,florinotex® Vogelschutznetz grün 10 x 50 m,grün,4250574103645,2 Stück pro Karton,1
701225,florinotex® Vogelschutznetz grün 12 x 25 m,grün,4250574103652,2 Stück pro Karton,1
701250,florinotex® Vogelschutznetz grün 12 x 50 m,grün,4250574102822,1 Stück pro Karton,1
